name,longitude,latitude
Hatchet Lake,-103.16,58.11
Nisichawayasihk Cree Nation,-98.89,55.78
Oromocto First Nation,-66.46,45.85
Roseau River Anishinabe First Nation Government,-97.24,49.13
Big Island Lake Cree Nation,-109.63,54.41
Saint Mary's,-66.63,45.97
Sheshegwaning,-82.84,45.93
Qalipu Mi'kmaq First Nation,-57.94,48.95
Poundmaker,-108.97,52.9
Muskoday First Nation,-105.49,53.09
Matachewan,-80.64,48.07
Horse Lake First Nation,-119.69,55.35
Misipawistik Cree Nation,-99.26,53.18
Malahat Nation,-123.52,48.61
Zhiibaahaasing First Nation,-82.87,45.95
Mattagami,-81.52,47.8
Teetl'it Gwich'in Band Council,-134.89,67.44
Temagami First Nation2,-80.07,46.97
North Caribou Lake,-91.35,52.95
Skownan First Nation,-99.6,51.97
Onondaga Clear Sky,-80.03,43.02
Nibinamik First Nation,-88.52,52.75
Mosakahiken Cree Nation,-100.31,53.71
Whitecap Dakota First Nation,-106.71,51.88
Birdtail Sioux,-101.15,50.27
We'koqma'q First Nation,-61.14,45.97
Brokenhead Ojibway Nation,-96.62,50.37
Songhees Nation,-123.43,48.44
White Bear,-102.27,49.75
Madawaska Maliseet First Nation,-68.31,47.36
Okanagan,-119.32,50.36
M'Chigeeng First Nation,-82.16,45.83
Wahpeton Dakota Nation,-105.9,53.28
Atikamekw d'Opitciwan,-74.94,48.66
Elsipogtog First Nation,-64.99,46.59
Samson,-113.46,52.82
Stellat'en First Nation,-124.91,54.06
Nazko First Nation,-123.58,52.94
Lutsel K'e Dene First Nation,-110.74,62.4
Kee-Way-Win,-92.8,53
Sq'éwlets,-122,49.24
Glen Vowell,-127.68,55.31
Little Red River Cree Nation,-114.53,58.46
Lower Kootenay,-116.52,49.07
Saik'uz First Nation,-124.11,53.94
Standing Buffalo,-103.89,50.8
Upper Mohawk,-80.17,43.07
Kingfisher,-89.83,53.03
Deninu K'ue First Nation,-113.67,61.17
Montagnais de Unamen Shipu,-60.67,50.22
Neskonlith,-119.73,50.77
Grassy Narrows First Nation,-93.99,50.15
Pehdzeh Ki First Nation,-123.36,63.18
Upper Similkameen,-120.08,49.36
Blueberry River First Nations,-121.11,56.7
Konadaha Seneca,-80.09,43.04
Pacheedaht First Nation,-124.41,48.58
Atikameksheng Anishnawbek,-81.18,46.4
Lake St. Martin,-98.44,51.75
Kluane First Nation,-138.99,61.36
Munsee-Delaware Nation,-81.47,42.79
"Behdzi Ahda"" First Nation",-126.09,67.04
Pabineau,-65.67,47.53
Garden River First Nation,-84.15,46.54
Nee-Tahi-Buhn,-125.67,53.93
Dog Rib Rae,-116.05,62.83
Dauphin River,-98.07,51.96
Poplar River First Nation,-97.28,52.99
Nak'azdli Whut'en,-124.25,54.44
Lac Seul,-92.3,50.29
Cheslatta Carrier Nation,-125.71,54
Lac La Ronge,-105.3,55.1
Chippewas of Nawash First Nation,-81.03,44.9
?Esdilagh First Nation,-122.5,52.56
Kwikwasut'inuxw Haxwa'mis,-126.6,50.7
Chippewas of Rama First Nation,-79.35,44.65
Bridge River,-121.96,50.77
Beausoleil,-80.18,44.82
Woodland Cree First Nation,-116.4,56.47
Kwadacha,-125.63,57.42
Sambaa K'e First Nation,-121.24,60.44
Black River First Nation,-96.31,50.83
Coldwater,-120.86,50.03
Dzawada'enuxw First Nation,-126.18,50.98
Nadleh Whuten,-124.61,54.08
Mississaugas of the Credit,-80.1,43
Ta'an Kwach'an,-135.08,60.74
Northlands Denesuline First Nation,-101.49,58.62
Yellow Quill,-103.63,52.3
Dokis,-80.03,46.13
Halfway River First Nation,-121.96,56.51
Chemawawin Cree Nation,-99.81,53.1
Quatsino,-127.57,50.61
Big Grassy,-94.32,49.07
Webequie,-87.36,52.98
Miawpukek,-55.76,47.86
Canoe Lake Cree First Nation,-108.16,55.16
Chawathil,-121.55,49.37
O'Chiese,-115.28,52.71
Wapekeka,-89.54,53.84
Bearskin Lake,-90.97,53.92
Penelakut Tribe,-123.66,48.97
Siska,-121.57,50.14
Beardy's and Okemasis,-106.31,52.84
Saulteau First Nations,-121.65,55.85
Eel Ground,-65.63,46.96
Tataskweyak Cree Nation,-96.1,56.24
Oneida,-80.15,43.06
Chapleau Ojibway,-83.39,47.82
New Westminster,-123.02,49.24
Moose Cree First Nation,-80.6,51.26
Duncan's First Nation,-117.87,56.1
Hollow Water,-96.3,51.19
Fort Good Hope,-128.64,66.26
Cold Lake First Nations,-110.24,54.34
Ts'uubaa-asatx,-124.07,48.83
Sumas First Nation,-122.19,49.06
Qualicum First Nation,-124.62,49.4
Black Lake,-105.6,59.13
Waswanipi,-75.96,49.7
